trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.01, 'e': 0.5655254386995371}",20,11,-32.94165765592462,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.559898366565402}",20,4,-28.106721569958218,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
60,False,"{'a': 0.01, 'e': 0.5543272847345071}",20,0,-30.156856818128826,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.5488116360940265}",25,0,-159.16900273244926,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
62,False,"{'a': 0.01, 'e': 0.5433508690744998}",20,0,-17.33254536839382,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.5379444375946745}",20,5,-70.85087817864422,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
64,False,"{'a': 0.01, 'e': 0.5325918010068972}",30,7,-44.41939561839879,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.5272924240430485}",20,0,-28.144244394579776,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.522045776761016}",25,0,-36.24762821203649,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.5168513344916992}",25,0,-107.29549251954026,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.5117085777865424}",25,0,-144.01305607701832,"{0: 13, 1: 0, 2: 10, 3: 1, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.5066169923655895}",20,8,-60.59296641295417,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
70,False,"{'a': 0.01, 'e': 0.5015760690660555}",30,0,-130.59139163251376,"{0: 20, 1: 1, 2: 5, 3: 3, 4: 1}",0
71,False,"{'a': 0.01, 'e': 0.49658530379140947}",35,0,-28.219832843692508,"{0: 27, 1: 3, 2: 5, 3: 0, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.4916441974609651}",20,9,-16.802503823875313,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.4867522559599717}",20,0,-29.04888002211055,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.48190899009020244}",20,0,-33.29696394205617,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.4771139155210344}",20,0,-0.46610656200565703,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.01, 'e': 0.4723665527410147}",20,0,-49.531140434295246,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.46766642700990924}",25,0,-3.448178173322237,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.46301306831122807}",20,0,-46.90468833446151,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.4584060113052235}",20,0,-11.64552985356775,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
80,False,"{'a': 0.01, 'e': 0.45384479528235583}",30,7,-63.34814153549907,"{0: 19, 1: 0, 2: 1, 3: 2, 4: 1}",1
81,False,"{'a': 0.01, 'e': 0.44932896411722156}",30,0,-23.55583480615825,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",1
82,False,"{'a': 0.01, 'e': 0.4448580662229411}",20,0,-11.757963259954813,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.44043165450599925}",25,9,-51.8713356451243,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
84,False,"{'a': 0.01, 'e': 0.43604928632153556}",20,7,1.971061643893886,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.43171052342907973}",25,0,-31.570161836884573,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
86,False,"{'a': 0.01, 'e': 0.4274149319487267}",25,0,-59.00199970208907,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.4231620823177488}",25,9,-47.309236025864465,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.418951549247639}",20,4,4.362985888312448,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.4147829116815814}",25,0,-57.87009958284031,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
90,False,"{'a': 0.01, 'e': 0.4106557527523455}",25,8,-121.14947868780142,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 3}",1
91,False,"{'a': 0.01, 'e': 0.4065696597405991}",30,14,-40.90482557366974,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
92,False,"{'a': 0.01, 'e': 0.40252422403363597}",20,7,-22.86935864845356,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.39851904108451414}",20,0,-19.702886094204167,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
94,False,"{'a': 0.01, 'e': 0.3945537103716011}",25,0,7.995616921277622,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
95,False,"{'a': 0.01, 'e': 0.3906278353585211}",20,12,12.743488064547497,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.3867410234545012}",20,0,-21.059027301923074,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.38289288597511206}",25,0,-96.81216792759324,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
98,False,"{'a': 0.01, 'e': 0.37908303810339883}",20,4,-22.94008849723346,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.01, 'e': 0.37531109885139957}",25,4,-65.78439357452578,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 1}",1
100,False,"{'a': 0.01, 'e': 0.3715766910220457}",20,8,-57.95633419642143,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
101,False,"{'a': 0.01, 'e': 0.36787944117144233}",25,17,3.7619184217458157,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.3642189795715233}",25,0,-35.591351089133866,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
103,False,"{'a': 0.01, 'e': 0.3605949401730783}",25,19,9.049533831389581,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.3570069605691474}",30,5,20.414776986873672,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.35345468195878016}",35,20,-69.07997973368045,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
106,False,"{'a': 0.01, 'e': 0.3499377491111553}",20,0,14.044286492383963,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.3464558103300574}",20,0,4.974521813401451,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.34300851741870664}",20,0,-55.25172129760194,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
