trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
78,False,"{'a': 0.3, 'e': 0.2199999999999993}",25,0,34.258826125839164,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.3, 'e': 0.2099999999999993}",25,0,23.022575569408207,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
80,False,"{'a': 0.3, 'e': 0.1999999999999993}",35,6,-5.281411713182143,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.3, 'e': 0.18999999999999928}",35,11,-21.331088123774865,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
82,False,"{'a': 0.3, 'e': 0.17999999999999927}",20,0,-4.605328986428946,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
83,False,"{'a': 0.3, 'e': 0.16999999999999926}",25,14,6.765826500902929,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.3, 'e': 0.15999999999999925}",20,0,-9.952234402787969,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
85,False,"{'a': 0.3, 'e': 0.14999999999999925}",20,8,8.470353166403603,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.3, 'e': 0.13999999999999924}",25,0,-18.81772249487056,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
87,False,"{'a': 0.3, 'e': 0.12999999999999923}",25,9,26.068218629270394,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.3, 'e': 0.11999999999999923}",20,0,-35.63882213234565,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
89,False,"{'a': 0.3, 'e': 0.10999999999999924}",35,21,15.346635701516602,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.3, 'e': 0.09999999999999924}",20,0,-10.649419507061566,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
91,False,"{'a': 0.3, 'e': 0.08999999999999925}",25,10,23.155328734462095,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.3, 'e': 0.07999999999999925}",25,11,11.519728755816617,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.3, 'e': 0.06999999999999926}",25,0,24.46054708012068,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.3, 'e': 0.059999999999999255}",25,0,33.68411501033083,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.3, 'e': 0.04999999999999925}",20,1,32.86211758191224,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,12,11.607691220987839,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,3,30.01013151006787,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,17.368180108345303,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,26.48934234755067,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,35.047193642570235,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",35,16,32.02950629504051,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,20,17.017522885288628,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,2,31.207242343491455,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,39.93529819537238,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,7,28.13198914416766,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
